French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
car,because
aucun,no
eux,them
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
savais,knew
attention,Warning
voici,here is
affaire,case
donner,give
type,type
leurs,their
train,train
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
première,first
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
compte,account
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
